clean_text,sentiment
i was or years old at the time and living in salt lake city utah and i still remember the new dome theater called the century layback chairs that rocked and a new sound system large screen and huge open space between the screen and the packed theater we felt all the excitement of a new preview screening of a film ta da da daa da ta da dada dada i can still hear the opening music ringing trumpet and the crash of cymbals i loved the interplay of characters and the filmed vistas i know peter finch and love and sally had some trouble with the lip sink but hey this was a feel good go feel better about things film what i regret is the way they cut the meaningful heart out of it showed the cut version and then called it a flop i saw the cut version and i can see it lost its view of the vision it had in the preview edition yes i wince a bit at peter's effort to make love through music but you know i did not see it that way when i left the theater when they surveyed us as we left i regret any comment i made that may have altered the original i liked it then and still see it while i listen to the music on my lp most of my family has heard me sing much of the sound track and i can use the films monologues in our games of what movie is this i wish a director's cut on dvd was available it is available on vhs but its not quite the same i would particularly like a full serious lord of the rings style commentary about its origins struggles and triumphs picky people should leave things well enough alone bring it back,positive
after seeing midnight offerings i am still convinced that the first decent movie about teenage witches yet has to be made i did not think much of the craft and i am not into charmed either the only film i more or less enjoyed about teenage witches was little witches and even that one was not very good but changes are that if you liked all the aforementioned movies you will also enjoy midnight offerings i was expecting a silly and cheesy early 's movie about teenage witches in high school but i was rather surprised that this whole movie plays it rather serious the acting is decent and serious all the time no jokes are being played by teenagers or something and the musical score at first i thought was pretty good it added some scariness and also something 'classy' with the use of threatening violins and all but as the movie progressed i came to the conclusion that the score was just too ambitious they did not have to add those threatening violins when you simply see someone back up a car and then drive away at normal speed then there is melissa sue anderson who was the main reason for me to see this movie a few weeks ago i saw her in happy birthday to me a rather enjoyable thick plotted and goofy on some occasions slasher movie which she had done in the same year as midnight offerings and i must say she was very good as the icy cold bad witch vivian but the main problem with the movie is almost nothing happens vivian causes a death and an accident yes but that is it then there is robin the good witch who is just learning about her powers and we expect the two of them using their powers more than once but at only one occasion they use their powers to make some pieces of wood and other stuff fly through the air as projectiles that was supposed to be a fight between two powerful witches and what is worse i was hoping to see a spectacular show down between the witches at the end of the movie with at least some special effects flaming eyes or whatever but nothing happens there is sort of a confrontation in the end but it is a big disappointment so the acting of the two witches was good the musical score was decent even though overly ambitious and the cinematography was rather dark and moody at times but that does not make a good movie yet does it,negative
in a word this film was boring it lacked life and spark a big problem is with the two leads jude law and gwyneth paltrow had no chemistry whatsoever he was boring and she was annoying the visuals were interesting but they did not enhance the scenes if anything the visuals tended to detach the audience from what was happening on screen none of the action sequences felt real and hence the film failed to create any real drama or a sense of danger the film had potential but it needed a better script better acting and a better director i kept thinking during the film you know this movie would have worked if harrison ford was sky captain karen allen was polly and steven spielberg was the director ignore the critical acclaims for this film the critics i think are praising the film because they want to like it and want it to succeed even though it fails on so many different levels,negative
most of this film is an alternately hilarious and brutal satire on nazism and fascism made at the height of those movements' success sadly in the final moments of the film chaplin abandons all pretense of making art not to mention comedy and switches completely to propaganda and not anti nazi propaganda either but some of the most mawkish and idiotic progressive propaganda ever to ooze out of hollywood never mind that nothing we have seen so far indicates that the barber is even capable of giving the speech we see him give delivered ironically with a disturbing wild eyed fanaticism such trivialities must not be permitted to interfere with the message,positive
i would have to say this is one of the best animated films i have ever seen i liked it the first time but really appreciated it on the second viewing just a few weeks ago i can see why sequel is doing such great business at the box office apparently a lot of people liked this movie a gorgeous color palette man this looks good and a lot of good adult but clean humor make this a big winner the opening minute scene with scat is excellent as are subsequent interludes with him sid the sloth voiced by john leguizano however provides the main humor in the movie he usually has something funny to say throughout the movie ray romano is the voice of the mammoth the big character of the film literally while denis leary is the ferocious bad guy turned good sabertooth tiger this is not just humor and pretty colors but a nice sentimental story of how a little baby softens up a couple of tough characters this is not interrupted with a lot of songs either one only brief one and there is nothing offensive language wise if more animated movies were this good i would own more,positive
in the year keep in mind this is two years ago not four two men had the motivation to create the most miraculous piece of art on this side of the mississippi thanks to jere cunningham and tom flynn the world can now enjoy second string a delicious tv movie depicting a tale of a rag tag gang of second stringers thus the title who are thrust into the position of starters due to an order of bad oysters because of the motivational direction of both the director robert lieberman and the buffalo bills' last minute qb dan give them hell heller portrayed by canadian actor gil bellows the oft super bowl snake bitten bills find themselves in the ultimate position with an intriguing mix of internal and external conflict a love story comraderie that only the fine sport of football can bring and an overall theory that the underdog can compete second string is an excellent movie worthy of viewing every possible moment that it appears on tnt the only thing potentially bad about this production is the spelling of the costume designer's first name jenifur jarvis,positive
while i had wanted to se this film since the first time i watched the trailer i was in for a deep surprise with this film while some of the elements and actions of the characters seemed a little too cartoonish ' the dark nature of the film really makes this a much different experience instead of the feel good happy story this film takes you in another direction that proves to be uplifting but also disturbing most kids will not understand some of the darker moments in the film which makes this film rather watchable for adults i was also impressed with the cinematography using animation and digital animation to create a seamless network of pans and tilts the musical score was once again solid proving hans zimmer is the go to guy when it comes to animated scores and i never thought i would say i actually enjoyed brian adams' music,positive
lovingly crafted and terribly interesting to watch garfield's gritty breakthrough performance introducing a new kind of rebellious acting style that would carry over to the brandos and clifts and so on after the war but all that sisterly affection is a bit suffocating priscilla lane is a bright engaging performer but the other sisters do not really register though they are all allowed to be tart and witty and i just had a hard time buying any of the other male characters besides garfield jeffrey lynn is a pleasant enough actor but he lacks the movie star weight to match up with garfield's hard luck mickey borden and that throws the film a bit out of whack imagine a jimmy stewart or someone in the part also i was not convinced that garfield would make the pivotal to say the least final decision that he made the film needed another half hour of running time to better explain that action it feels awfully rushed and under motivated still it is not hard to understand how anybody who grew up with this picture would remember it fondly it falls short of being a classic but it does contain a few classic moments the two gate swinging scenes are pure movie magic,positive
this movie is very scary with scenes where the devil uses gabriels horn to open heaven and pull the good angel dogs out and imprision them on alkatraz the devil sings and dances to a few songs about the joys of being bad and at one point eats a live rat we got this movie free with a pizza you get what you pay for,negative
i was excited at the concept of my favorite comic book hero being on television and sorely disappointed at the end result the only amazing thing was the wall crawling despite the visibility of the cable i did not think nick hammond was peter parker and he was visibly of a different build than the guy who did the stunts in the spider suit you could tell they were two different actors granted i can also spot in the modern spider man movies when i am looking at tobey macguire and when i am looking at cgi but that is from a trained eye and experience working with cgi still the 's version could have been better despite lack of special fx the webs were hokey and looked like ropes that seemed to wrap around things rather than stick to them and what was up with giving him a spider mobile to ride around in hello he is the web slinger people sorry did not mean to get so worked up but our beloved wall crawler deserved better,negative
although i am very familiar with poet dylan thomas i know nothing of his life whatever his life and specifically his marriage involved i would imagine that the edge of love based on the novel manipulates things a bit but unless you are a historian or a poet who cares the movie is less about thomas and more focused on the two most important women in his life one is his wife kathrine and the other is vera who was his first love one romantic night on the beach as youths is something that both have tried to put behind them but cannot now grown up they are good friends i forgot to mention that this is set during the war vera becomes engaged to captain will killing who he gets her pregnant and leaves for war while he is away vera starts to fall for thomas again and kathrine has fallen out of love with him she is also carrying another man's child things get even more emotionally complex when capt killig returns as you can see it is a very soap operatic plot and it takes shape in a fairy drab slow manner with perhaps one too many sequences of sappy dialogue but all is not lost yet for a non hollywood production i think that the edge of love is about as stylish a picture as one can get it is certainly more dimensional and intelligent than about of contemporary romances hollywood production or not some of it has to do with being set during the war which sets up emotional conflict that feels more convincing and less artificial a bit like atonement this one features acting and cinematography of equal talent to joe wright's oscar nominee but it is in far greater need for stable pacing and progression things are okay at the start and finish but the middle section is where your attention span may be tested unless you are deeply and profoundly rooted in the story i doubt if the edge of love will have that kind of an effect on the viewer but is a good film to check it might even make a good date night movie considering it is so much smarter than the chick flicks that boyfriends are forced to endure today,positive
if only the writer producer star had the slightest inkling of the limits of his acting range and the way he is perceived on screen wearing glasses and a side parting is not enough to make you look gawky and quirky if your face and teeth have been sculpted by various medical professionals to conform to american ideals of generic characterless symmetry erroneously perceived as beauty in this obsessively superficial society he would have cast john heder as the main character instead of attempting to pull a good will hunting and create a vehicle to showcase his his well himself the excellent supporting cast lord knows they must be having problems to agree to this is wasted in an agonising perpetual struggle to react convincingly to a main character incapable of delivering even the simplest line with appropriate intonation and believe me he is not short of simple lines to choose from as the dialogue appears to have been composed by a five year old ah wait it is the same person pretending to be a writer as pretending to be an actor it is not often that i do not see a film through to the end but this ejaculation was irredeemable from the outset and showed no signs of improving after the first hour excrement,negative
the most enjoyable parts of this film were the clips from the original movie the acting was poor and the premise of sexual scorecards was revolting the effects were marginal at best there were no stand out performances amy irving was put in this film to try and get a part of the halloween h audience the original was much more enjoyable and gratifying i am sorry to say that this is not going to be one of the years best so far it is at the bottom of my list do not bother with this one folks,negative
i had high hopes for this one after reading earlier reviews but it was so slow and the plot so basic that well i wondered if i had read the wrong reviews please a boy meets girl next door at and both aspire to love and being basketball legends grow apart but watch each others progress guess what both get scholarships to same university and become lovers again until his father is caught out playing around with a younger woman our young hero unable to cope has lapse in court concentration but some how decides to go pro and drop studies and guess what is picked up by lakers dumps the heroine because she was not there for him during this emotional period so for years they go their own way she returns from spain having lost the zest for the game and our hero is getting married in two weeks mom tells her that she should fight for her love so she professes her on going love and challenges him to a basketball shootout he wins he marries she wins he loves her well he won but decides to dump other girl for our girl the end has her playing basketball and he has baby duties sorry is my high score my partner she scored for a soapy story for those who read mills and boon,negative
i struggle to see the point of this movie it is supposed to be a comedy but i did not laugh once the storyline is one that could have been interesting in a well made movie but since this is acted by comics the result is totally unbelievable as comedies should be the comic strip series was very hit and miss even withing the episodes and it is fair to say all of the people involved have gone on to do greater things one to avoid i have also just found out that comments have to be lines long the whole point of these comments is to give an indication of whether the movie is worth watching not write an essay gushing about it or taking it apart if you like seinfeld larry sanders the young ones alan partridge arrested development curb red dwarf then you might like to pass on this on the other hand if you like lame jokes such as can be found in friends and dodgeball enjoy watching this,negative
as this movie unfolds you start to feel the conundrum of human existence if you carry with you questions inner wars unsolved puzzles about the meaning of life then you will feel this movie with every morsel of your body charles darwin begins a war with an utterly predictable ending war with god his theories resemble the fact that god has nothing to do with mankind has nothing to do with the amazing world that we live in savage harsh ironic and chaotic this words surround the mind of the character thrown into an universe of material truth who slowly pushes hope for god out from his mind nevertheless the movie as charles darwin still sees wonder and beauty beyond god in the universe of infinite evolution,positive
maybe the target audience of this disney channel tv movie will be pleased with it but if any parents are watching along with the youngsters they will clearly see that cranked out is written all over this production obviously it was no one's dream to make this movie but rather this was concocted in a board room somewhere then produced with cold efficiency there is some talent among the cast but actors like dabney coleman and jay thomas do not get much of a chance to showcase their talent the impossibly cute elisabeth harnois is engaging as the first daughter but will friedle is stuck once again playing another dumb character though he is not nearly as moronic and annoying as in his boy meets world role the background for this movie is washington d c and the white house but there is no real presidential feel to the film and the secret service is made out to be little better than the keystone kops when it come to doing their duty the disney channel presents a lot of original tv movies and most of them are better than this,negative
this film could well have been one of those ordinary soapies relating the day to day events of half a dozen families whose lives are intertwined broken relationships building new friendships street bashings near accidents hopes and dreams and even the discovery of a baby discarded under some bushes what a mixture of events fortunately the film maker goes beyond those daily events and poses questions to consider although there are no satisfactory answers he asks in this chaotic world do things just happen is it just luck when things turn out right or taking a fatalistic view is a person predestined to be at a certain place at a certain time and thus become involved in the event and his future takes on a new perspective most of us have had this uncanny experience is it our super ego that makes us believe we are so important as one character says he once sat on the edge overlooking the grand canyon and came to realize how infinitely small he was this is not one of my favourite films but is a good study of human relationships danny glover is outstanding in a sympathetic role,positive
it is a lovely movie it deeply reflects the chinese underground bands' current lives if you chinese culture traditionaled rock n roll music there you go i will highly recommend this one but one thing i am wondering is whether this movie has been showed in mainland i sorta doubt it d,positive
and i for one think that is a good thing i have just never been a rosalind russell fan although the original was my favorite rr movie but i love bette and was thrilled to hear she was making this as for the rest of the production i think it was slightly less than the original movie one of my favorite minor characters in the original was mazeppa with her scratchy fingernails on the blackboard voice belting out hey it takes a lot more than no talent to be a strippah and although i missed it i was glad to see the producers had the guts not to do a carbon copy i also liked the fact there are large portions of this movie which were filmed as if you are looking at a stage it gives a feeling that you are in the theatre not just at the movies i think the other thing i liked about this production was that there seemed to be slightly less repetition of the song let me entertain you which becomes completely annoying after about the th time you hear it,positive
jeff wincott is not only a hunk he can kick butt this movie has some of the best martial arts moves i have seen in a very long time ok so maybe bridgette nielson is not the first person i would hire to play a ruthless politician she did a great job nontheless and let us not forget that wincott has a partner in this movie played by martial arts expert stuntwoman karen sheperd so she is not cynthia rothrock who cares she is just as good if not better just check out her fight scene at the end of the movie one word ouch my suggestion would be to buy this movie as soon as possible because if you have not seen it you are really missing out on some great martial arts action,positive
i watch them all it is not better than the amazing ones strictly ballroom shall we dance japanese version but it is completely respectable and pleasingly different in parts i am an english teacher and i find some of the ignorance about language in some of these reviews rather upsetting for example the name should scream do not watch 'how she move ' since when can movie titles ignore grammar there is nothing inherently incorrect about caribbean english grammar it is just not canadian standard english grammar comments about the dialogue seem off to me i put on the subtitles because i am a canadian standard english speaker so i just automatically assumed that i would have trouble understanding all of it it was not all that difficult and it gave a distinctly different flavour as the other step movies i have seen were so american i loved that this movie was set in toronto and in fact wish it was even more clearly set there i loved that the heroine was so atypically cast i enjoyed the stepping routines i liked the driven mum character i felt that many of the issues in the movie were addressed more subtly than is characteristic of dance movies in summary if you tend to like dance movies then this is a decent one if you have superiority issues about the grammar of the english standard you grew up speaking your narrow mind may have difficulty enjoying this movie,positive
richard brooks excellent film of truman capote's novel in cold blood is a perfect companion piece to philip seymour hoffman's oscar winning performance in the capote they really play well together try them on separate nights it is unusual to find films made years apart that mesh so well these two truly enhance each other even though different actors play the roles of killers perry smith and dick hickock the two pieces blend well only the part of the writer played by paul stewart in the brooks films is weaker as they give him a different name then capote i would suggest watching capote first followed by in cold blood it makes for a powerful experience,positive
deeply emotional it cannot leave you neutral yes it is a love story between years old boys but it is only the body of this movie and it is been removed you only feel what happened with these boys you feel the soul of the movie with of course some action some sex but this is no pornography too many feelings it was only a summer story and it became from love to hate almost to death the most important time of their lives i loved it you will too whatever your feelings are,positive
there is a word for this sort of film and that word is drivel it was drivel when it was a vhs rental and it is drivel on satellite re runs now it might fool you because it has moderately well known names in kistofferson and henriksen reasonable soundtrack music and nice monument valley scenery it also has some curly haired woman who fights a lot if that is all you want from a movie then maybe this will keep you happy it is still drivel though,negative
i enjoyed this movie have not seen andy griffith in ages and felt he fit this role perfectly i have associated him with comedy but am pleased to see that he is versatile i was not troubled that dotty's anxiety disorder may not have been verbatim from a psychiatric textbook there are zillions of whatever phobias and neuroses and these can take on a broad variety of quantitative and qualitative forms she is clearly a sensitive with extra sensory powers as was understood by the local indians but not by any anglos it is not surprising that this character is vulnerable and nominally eccentric although this is taken to be a light family movie it is actually more sophisticated than it seems also hiram's twist at the end came as a pleasant surprise to me and tied all the preceding action together in a bundle it is fun to contemplate the possibility of such spiritual guidance,positive
first off the movie was not true to facts at all i just saw the documentary a few days earlier and the movie was not anything like it first of all nash was a genius at mathematics and this is what the movie should have been about not a story about a man who was cured and who found love at the end and so on also there are a lot of scenes that were just plain wrong the scene where he rode around with a bike at the campus happened in his early university years not after it in my opinion russell crowe did not fit to this part at all since he does not look the intelligent individualist type therefore he really could not play one it would have been great if it would have focused more on the mathematics similar to pi and not the over dramatized lovelife at this level abm was too hollywood ish and too superficial to be great personally i think he was not mad nor paranoid and he was onto something since people of that caliber tend to know more than we lesser mortals,negative
the documentary and we use that term loosely apparently summarizes that muslims are trying to violently take over the world then states that any muslim that does not admit this is either ignorant of their own faith or lying to your face also every person that is interviewed in the film has found a market for their ludicrous take on reality by selling claptrap to conservatives willing to let others do the thinking for them what the west needs to know is this is nothing more than propaganda aimed at mental midgets if you are looking for an actual documentary on islam and the current state of the middle east i would look elsewhere try something that provides multiple points of view from qualified sources,negative
i believe that this was supposed to be shocking or something all that i can say is poor goat this flick is so poorly done that the parts that should shock and revolt you come across as laughable at best the characters are so lame and wait dimensional that i applauded each sick death all except that poor goat,negative
before i comment about this movie you should realize that when i saw this movie i expected the typical crap horror b movie and just wanted to have fun jack frost is one that not only delivers but is actually one of the best that i have seen in a long time scott mcdonald is great as jack frost in fact i think he has a future in being psychopaths in big time movies if ever given the chance mcdonald is a serial killer who becomes a snowman through some stupid accidental mix of ridiculous elements as soon as that snowman starts moving around and killing people though you will find it hard not to laugh the lines that are said are completely retarded but really funny the fact that the rest of the cast completely over acts just adds to stupidity of the film but it is stupidity is it is genius the scene where the snowman is with the teenage girl is truly classic in b movie horror film fashion i truly hope there is a sequel and i will be right there to watch it on whatever cable channel does it of course it is only fun to watch the first few times and it is not exactly a good work of motion picture technology but i just like to see snowmen kill people i gave it a out of this is a great movie for dates and couples in the late hours,positive
